X Len:  3745
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 0
total_loss_g:  tensor(1.2809, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.2813, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3668, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6551, device='cuda:0', grad_fn=<DivBackward0>)
/home/students/meier/Seq2Seq/only_torch/lib/python3.5/site-packages/sklearn/metrics/_classification.py:1272: UndefinedMetricWarning: Recall is ill-defined and being set to 0.0 in labels with no true samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/home/students/meier/Seq2Seq/only_torch/lib/python3.5/site-packages/sklearn/metrics/_classification.py:1272: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
(1.181880703577302, 'accuracy: ', tensor(0.9837, device='cuda:0'), 'precision: ', 0.9422666973391618, 'Recall: ', 0.9386164865137765)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 1
total_loss_g:  tensor(1.2122, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.2124, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.2165, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.4290, device='cuda:0', grad_fn=<DivBackward0>)
(1.181244061193056, 'accuracy: ', tensor(0.9842, device='cuda:0'), 'precision: ', 0.9461007591442381, 'Recall: ', 0.9413770110134313)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 2
total_loss_g:  tensor(1.2023, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.2024, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1926, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3948, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 3
total_loss_g:  tensor(1.1893, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1894, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1745, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3638, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 4
total_loss_g:  tensor(1.1893, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1894, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1708, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3601, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 5
total_loss_g:  tensor(1.1785, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1785, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1690, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3469, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 6
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1681, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3338, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 7
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1675, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3332, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 8
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1671, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3328, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 9
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1668, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3323, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 10
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1666, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3321, device='cuda:0', grad_fn=<DivBackward0>)
(1.1654288322838902, 'accuracy: ', tensor(1., device='cuda:0'), 'precision: ', 1.0, 'Recall: ', 1.0)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 11
total_loss_g:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1665, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3324, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 12
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1663, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3320, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 13
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1662, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3317, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 14
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1662, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3316, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 15
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1661, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3316, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 16
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1660, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3315, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 17
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1660, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3314, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 18
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1659, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3314, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 19
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1659, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3313, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 20
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1658, device='cuda:0', grad_fn=<DivBackward0>)
