X Len:  3982
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 0
total_loss_g:  tensor(1.3377, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3377, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.4074, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.7459, device='cuda:0', grad_fn=<DivBackward0>)
/home/students/meier/Seq2Seq/only_torch/lib/python3.5/site-packages/sklearn/metrics/_classification.py:1272: UndefinedMetricWarning: Recall is ill-defined and being set to 0.0 in labels with no true samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
(1.2228041097430364, 'accuracy: ', tensor(0.9426, device='cuda:0'), 'precision: ', 0.8196699669966998, 'Recall: ', 0.8038228441081721)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 1
total_loss_g:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3441, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6772, device='cuda:0', grad_fn=<DivBackward0>)
(1.223704691958832, 'accuracy: ', tensor(0.9417, device='cuda:0'), 'precision: ', 0.8165346534653467, 'Recall: ', 0.8004880056982226)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 2
total_loss_g:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3328, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3430, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6709, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 3
total_loss_g:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3328, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3429, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6703, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 4
total_loss_g:  tensor(1.3333, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3333, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3428, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6709, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 5
total_loss_g:  tensor(1.3329, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3329, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3428, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6763, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 6
total_loss_g:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3428, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6755, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 7
total_loss_g:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.3327, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.3428, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.6755, device='cuda:0', grad_fn=<DivBackward0>)
